Tickets,Tickets
"Success ! Ticket(s) removed successfully.","Success ! Ticket(s) removed successfully."
"Error ! %1 Tickets not removed successfully.","Error ! %1 Tickets not removed successfully."
Enabled,Enabled
Disabled,Disabled
error_description,error_description
"Invalid credentials !","Invalid credentials !"
" Success ! Ticket has been created successfully."," Success ! Ticket has been created successfully."
" Error, request data not valid. (http-code: 400)."," Error, request data not valid. (http-code: 400)."
"Error, resource not found (http-code: 404)","Error, resource not found (http-code: 404)"
"Error, HTTP Status Code :%1","Error, HTTP Status Code :%1"
"Success ! Reply added successfully.","Success ! Reply added successfully."
Labels,Labels
"Filter Tickets","Filter Tickets"
"Assigned To","Assigned To"
Customer,Customer
Group,Group
Team,Team
Priority,Priority
Type,Type
Tag,Tag
Mailbox,Mailbox
"Ticket List","Ticket List"
Ticket,Ticket
"Customer Name","Customer Name"
Subject,Subject
"Date Added date","Date Added date"
Replies,Replies
Agent,Agent
Action,Action
#,#
View,View
"No tickets found","No tickets found"
"created a ticket","created a ticket"
"Create Ticket","Create Ticket"
"No Ticket Found","No Ticket Found"
"Select type","Select type"
"UVdesk #","UVdesk #"
"Ticket Thread","Ticket Thread"
Collaborators,Collaborators
replied,replied
Saving,Saving
Webkul,Webkul
"UVdesk Connector","UVdesk Connector"
"UVdesk Configuration","UVdesk Configuration"
"Company Domain","Company Domain"
"Access Token","Access Token"
Accounts,Accounts
UVdesk,UVdesk
"UvDesk Ticket List","UvDesk Ticket List"
